THUMB_POS_X,THUMB_POS_Y,THUMB_POS_Z,INDEX_POS_X,INDEX_POS_Y,INDEX_POS_Z,MIDDLE_POS_X,MIDDLE_POS_Y,MIDDLE_POS_Z,RING_POS_X,RING_POS_Y,RING_POS_Z,PINKY_POS_X,PINKY_POS_Y,PINKY_POS_Z,target
-0.02057102,0.07112947,-0.01756993,0.005286686,0.1092763,0.04451114,-0.03441325,0.1083327,0.0392783,-0.03723778,0.0548549,-0.02911359,-0.03528374,0.02849838,-0.02547452,TWO
-0.02964922,0.06812307,-0.01659185,0.006956965,0.1127349,0.03351557,-0.03794567,0.1037848,0.003640383,-0.04250382,0.05196375,-0.03116798,-0.03805071,0.02530682,-0.02235192,TWO
-0.02885398,0.0673084,-0.01835832,0.00773517,0.1131108,0.03228602,-0.03541926,0.1008247,-0.00662753,-0.04121995,0.05578592,-0.03254631,-0.03732275,0.02790657,-0.02469257,TWO
-0.02919788,0.06711265,-0.02038756,0.006100789,0.1132052,0.03306791,-0.02791148,0.1091444,0.04369685,-0.04128835,0.04527178,-0.02692494,-0.03854013,0.02038831,-0.01850322,TWO
-0.02761354,0.06751254,-0.02059275,0.008502774,0.1127001,0.03491732,-0.02908996,0.1099345,0.04020867,-0.0381711,0.04261747,-0.02818665,-0.03750196,0.02084088,-0.01895136,TWO
-0.02516598,0.06522605,-0.03006738,0.009152792,0.1172883,0.01657242,-0.02140938,0.1142575,0.03934246,-0.03376793,0.02583155,-0.03093871,-0.03887206,0.01805308,-0.01841745,TWO
-0.0215113,0.06593516,-0.03265211,0.007994428,0.1169778,0.01811108,-0.02583584,0.1132492,0.03932258,-0.02986632,0.02619714,-0.03523868,-0.03557939,0.01654783,-0.02328631,TWO
-0.02225918,0.06621891,-0.03163034,0.008085221,0.1167913,0.01921958,-0.02599393,0.1124607,0.04132399,-0.03115397,0.02749059,-0.03487766,-0.03636773,0.01730031,-0.02323112,TWO
-0.02201719,0.06790429,-0.02852803,0.009183392,0.1160664,0.0225735,-0.02473228,0.1112877,0.04478541,-0.03356893,0.0290812,-0.03331321,-0.03810463,0.01917517,-0.02175236,TWO
-0.02185061,0.06828287,-0.02797645,0.009096265,0.1159565,0.02316156,-0.02464887,0.1110671,0.04533574,-0.03384362,0.02871633,-0.03280744,-0.03837962,0.01914501,-0.02110109,TWO
-0.02156286,0.06763729,-0.02882797,0.009013936,0.1161352,0.0221245,-0.02493361,0.1121846,0.04233679,-0.03204437,0.02798638,-0.03347206,-0.03733089,0.01876196,-0.02179176,TWO
-0.03114703,0.0653944,-0.02196229,-0.002202481,0.1166493,0.01056093,-0.01858544,0.1130444,0.04265299,-0.03183454,0.01446658,-0.0188356,-0.03639967,0.009391189,-0.003980845,TWO
-0.03172211,0.06492573,-0.02099067,0.002676606,0.1168694,0.009476483,-0.01573412,0.1141407,0.04044712,-0.03434101,0.01913565,-0.01793671,-0.03775594,0.01281923,-0.003565848,TWO
-0.0341392,0.06304252,-0.02304459,-0.004374504,0.1163048,0.008478314,-0.01980111,0.1154817,0.03343993,-0.0321288,0.01278317,-0.01813418,-0.03623434,0.008843124,-0.003968477,TWO
-0.03502096,0.06187132,-0.02462387,-0.006623685,0.1163286,0.008310288,-0.02371826,0.1149989,0.0325118,-0.03171461,0.01218271,-0.01929602,-0.03623867,0.00815621,-0.00536406,TWO
-0.03468534,0.06342366,-0.02542618,-0.01284592,0.1161965,0.007991672,-0.03483038,0.1112405,0.03253898,-0.03193907,0.009755552,-0.01990467,-0.03648885,0.005890876,-0.006321758,TWO
-0.03459033,0.06325886,-0.02557543,-0.01231822,0.1160662,0.007068723,-0.03283843,0.1125087,0.02960652,-0.03111773,0.008859783,-0.01932997,-0.03592265,0.00556764,-0.005865157,TWO
-0.06049483,0.0421277,-0.02904233,-0.07080761,0.08922195,0.001793563,-0.0777436,0.08731046,0.02534518,-0.03508504,-0.006859034,-0.01599517,-0.04032589,-0.01024631,-0.004073501,TWO
-0.04745135,0.0546864,-0.0310137,-0.03976925,0.1087975,0.004534423,-0.05460266,0.1039273,0.02515566,-0.03312501,0.001827598,-0.01862103,-0.03836372,-0.002155393,-0.006257772,TWO
-0.04233215,0.05673292,-0.03198835,-0.02347063,0.1140903,0.0002107024,-0.0412808,0.1110058,0.01981589,-0.03178909,0.004737437,-0.0188289,-0.03675939,0.00162822,-0.005309939,TWO
