THUMB_POS_X,THUMB_POS_Y,THUMB_POS_Z,INDEX_POS_X,INDEX_POS_Y,INDEX_POS_Z,MIDDLE_POS_X,MIDDLE_POS_Y,MIDDLE_POS_Z,RING_POS_X,RING_POS_Y,RING_POS_Z,PINKY_POS_X,PINKY_POS_Y,PINKY_POS_Z
-0.02952256,0.06593502,-0.02115428,0.01938102,0.1154184,0.01221126,0.002307639,0.1159024,0.03607392,-0.02823889,0.01652291,-0.01074114,-0.03239311,0.01200435,0.005045384,TWO
-0.0264679,0.06619149,-0.01981768,0.0273968,0.1135294,0.01488122,0.008933872,0.1150785,0.03923595,-0.02815264,0.02200603,-0.01203543,-0.03289945,0.01690802,0.003033519,TWO
-0.0262643,0.06528741,-0.01902711,0.03061582,0.1125072,0.01636627,0.01084675,0.1145689,0.04139453,-0.02832922,0.02685153,-0.01351452,-0.0334778,0.0207366,0.0008480549,TWO
-0.02691858,0.06476328,-0.01856458,0.03109327,0.1122615,0.01705185,0.01103173,0.1142963,0.04248798,-0.02873281,0.02866867,-0.01390237,-0.03384387,0.02197638,0.0001938343,TWO
-0.02931575,0.06376803,-0.01725641,0.02991474,0.1119424,0.02009133,0.009729847,0.11327,0.04600298,-0.02967872,0.03060365,-0.01477304,-0.034751,0.02316347,-0.0009963214,TWO
-0.03031807,0.06382829,-0.01620615,0.0283855,0.1119033,0.02237818,0.00820709,0.1123285,0.04859918,-0.03013208,0.0299187,-0.01484174,-0.03515407,0.02250969,-0.001064509,TWO
-0.03048608,0.06391338,-0.01636231,0.02728384,0.1119941,0.02319878,0.006765544,0.1121758,0.04905742,-0.03026661,0.02963752,-0.01532322,-0.03539314,0.02236295,-0.001638025,TWO
-0.02961431,0.0647437,-0.01732937,0.02512664,0.1121495,0.02439788,0.004312851,0.1123016,0.04860315,-0.03055081,0.03027436,-0.01695544,-0.03581568,0.02291715,-0.003454685,TWO
-0.03092512,0.06407672,-0.01667079,0.02446674,0.1126258,0.02332842,0.004604138,0.112387,0.04847085,-0.03105404,0.02972847,-0.0165036,-0.03597372,0.02239588,-0.002828687,TWO
-0.03161351,0.06353781,-0.01697066,0.02361825,0.1131476,0.02198479,0.00395643,0.1128964,0.04730824,-0.03113483,0.02865809,-0.01666743,-0.03599747,0.0216361,-0.002840579,TWO
-0.03168249,0.06280088,-0.01925787,0.02267358,0.1139724,0.01897445,0.002349429,0.1143,0.04385388,-0.03065335,0.02686951,-0.01792359,-0.03578681,0.02054799,-0.003841668,TWO
-0.03154208,0.06233397,-0.02083966,0.02212522,0.1143315,0.01751548,0.001297563,0.1150761,0.04181761,-0.03035332,0.02612308,-0.01886973,-0.03571415,0.02014342,-0.004750103,TWO
-0.03037013,0.06251809,-0.02341998,0.01953451,0.1151282,0.016366,-0.002440289,0.1157807,0.04001033,-0.03156443,0.02561009,-0.02082545,-0.03663683,0.01978332,-0.006543577,TWO
-0.02682285,0.06478214,-0.02413696,0.01805887,0.1150581,0.01957911,-0.006088547,0.1147012,0.04285419,-0.03240103,0.02777696,-0.02307475,-0.03733201,0.02082467,-0.00904578,TWO
-0.0258007,0.06561378,-0.02410537,0.01659868,0.1151082,0.0209893,-0.008446552,0.1141648,0.04398176,-0.03293731,0.02850497,-0.02421498,-0.03777399,0.02108613,-0.0102731,TWO
-0.02402792,0.06722301,-0.02335569,0.01246087,0.1144756,0.02731353,-0.01514903,0.1115046,0.04908437,-0.03358051,0.03167918,-0.02867645,-0.0382579,0.02244896,-0.01518589,TWO
-0.02430851,0.06732771,-0.0229795,0.01155174,0.1138675,0.03040546,-0.01767772,0.1099505,0.05171645,-0.03416609,0.03336194,-0.0299148,-0.03863043,0.02337515,-0.01665652,TWO
-0.02526294,0.06687686,-0.02203441,0.01179119,0.1128982,0.03436565,-0.01928888,0.1083766,0.05445683,-0.034776,0.03666693,-0.03179443,-0.03911769,0.02587333,-0.01890737,TWO
-0.02688226,0.06715813,-0.02041665,0.0128331,0.1122479,0.03660452,-0.01812564,0.1073055,0.05691475,-0.0368252,0.03791386,-0.03108597,-0.04049397,0.02698934,-0.01825792,TWO
-0.02727662,0.06738883,-0.01954278,0.01404574,0.1119465,0.03726351,-0.01665084,0.1073565,0.05723014,-0.03733985,0.03891701,-0.03004569,-0.04080082,0.02769047,-0.01751018,TWO
